group,n_weeks,flip_count,elimination_flip_rate,mean_rank_tau,std_rank_tau,mean_rank_rho,std_rank_rho,mean_actual_margin,mean_cf_margin
overall,301,66,0.21926910299003322,0.8275230811108766,0.18771698167599823,0.8973038759485099,0.16826785410724915,0.9485886168306309,1.45451611988707
rank_method,74,0,0.0,0.7026601361930053,0.2646350634483567,0.7850240095527707,0.26283432305376647,3.6621621621621623,0.07850475791902803
percent_method,227,66,0.2907488986784141,0.8682273010400503,0.13185482691319447,0.9339061231435967,0.09898211053379322,0.0639875491895149,1.9030837004405285
season_1,4,0,0.0,0.6221611540360427,0.2025590984237523,0.7078671863010924,0.1680989951237058,3.0,0.14570143813211886
season_2,7,0,0.0,0.8625023809964693,0.11654453655899835,0.9305275960181477,0.07120823353891417,3.0714285714285716,0.1210794682281368
season_3,7,4,0.5714285714285714,0.8232109032646608,0.13950344782112017,0.9086924494856973,0.09020618014318765,0.07107091598959749,2.357142857142857
season_4,9,4,0.4444444444444444,0.9051747062298467,0.07517926137769637,0.9634829986562765,0.02928921974007107,0.07479656240588983,1.8333333333333333
season_5,9,2,0.2222222222222222,0.8852897927537723,0.1163312857408594,0.946237703845215,0.06786038721385995,0.06966245435044754,1.7777777777777777
season_6,9,2,0.2222222222222222,0.8929957116998667,0.10840704214494863,0.9428801364285301,0.07429022176082128,0.08148447118478767,1.8888888888888888
season_7,9,2,0.2222222222222222,0.9031054726872555,0.05224441341751637,0.962956482270988,0.02207615075388359,0.08325622725322473,2.3333333333333335
season_8,10,3,0.3,0.9312490000234304,0.0633551606299452,0.9730985075931521,0.03247106957873617,0.06866775132894479,1.6
season_9,9,1,0.1111111111111111,0.8885801037673582,0.11112977923870607,0.9373669354986114,0.08391302254213119,0.05525880388249996,1.6111111111111112
season_10,9,0,0.0,0.9513334127582022,0.05798925841925254,0.9805510501817424,0.02589717270119483,0.079999745627141,3.2777777777777777
season_11,9,2,0.2222222222222222,0.8712155389127132,0.08798331281873642,0.9399628635869832,0.05733365907972735,0.06983923726965921,1.3888888888888888
season_12,9,1,0.1111111111111111,0.9078497004481435,0.17616809275302062,0.9457158912833759,0.11303468520707087,0.07769854227866106,2.0
season_13,9,2,0.2222222222222222,0.9044620399825618,0.08027142958139889,0.9626232025188314,0.03752016243398204,0.07952420983350317,1.8888888888888888
season_14,9,2,0.2222222222222222,0.786292658114899,0.25341153564738145,0.8623236274875424,0.21606456698297757,0.06306368737691163,1.7777777777777777
season_15,9,7,0.7777777777777778,0.7623878118556916,0.10542876077105949,0.880541498375547,0.07746683714723948,0.0410737038677689,1.6111111111111112
season_16,10,1,0.1,0.8907931137277533,0.11034178978764819,0.9556563394506699,0.05716602203336668,0.07756238040734902,1.8
season_17,11,4,0.36363636363636365,0.8865426136097058,0.07852117044914883,0.9537157255565017,0.036008344741805164,0.04909628509962667,1.5
season_18,10,3,0.3,0.8817574256145952,0.07156672810696602,0.9465322740918858,0.03990140877991049,0.06415395738561594,1.4
season_19,11,2,0.18181818181818182,0.8606452646376692,0.11132562044841866,0.9363521148120403,0.06308859923821726,0.057883454602280435,1.3181818181818181
season_20,9,5,0.5555555555555556,0.8578255147878575,0.08786241659900058,0.9370396392845254,0.05851512906428994,0.04815880279608013,1.5555555555555556
season_21,10,3,0.3,0.8415274596250997,0.12919320477628343,0.9292102425052349,0.07094176387469922,0.04418772707797726,1.75
season_22,9,2,0.2222222222222222,0.830124920933285,0.2192003632048443,0.8947092047164441,0.1978139922296478,0.057408681165720586,2.7222222222222223
season_23,11,4,0.36363636363636365,0.7835922786213996,0.24522870400502714,0.8643222317700285,0.2277343601687982,0.0645621335703974,2.3181818181818183
season_24,9,3,0.3333333333333333,0.8372138902693435,0.15477234113905874,0.9098560176869781,0.10249554966955618,0.06626099850494303,2.0
season_25,10,3,0.3,0.8765715765374452,0.09886245073972948,0.9450451881859537,0.06160673142153505,0.0636129216739035,2.25
season_26,3,1,0.3333333333333333,0.8798000101166815,0.12118902489322972,0.9449563917114346,0.06707889125226188,0.07130054630163213,3.0
season_27,8,3,0.375,0.8716865031552317,0.12499159517790635,0.9263790067343374,0.11336017830368562,0.027199060034925126,1.625
season_28,10,0,0.0,0.7245524486286686,0.31130902489070444,0.7940410763496943,0.3127507989539358,2.7,0.07545062761571389
season_29,10,0,0.0,0.6551008800276624,0.29666767370249386,0.7423051819678943,0.30406394238255186,5.15,0.06745289605172441
season_30,9,0,0.0,0.6166463225933787,0.28754307334486023,0.7031661612825368,0.2744786963781151,4.944444444444445,0.06927866165110187
season_31,9,0,0.0,0.7544071645032095,0.1203060254746688,0.8697762617249746,0.09247483785234566,4.722222222222222,0.05989243086710884
season_32,9,0,0.0,0.7506162957731336,0.3035576613837771,0.8097294501911129,0.312586108183829,2.611111111111111,0.0718719668127539
season_33,6,0,0.0,0.6480999255956795,0.30126604111054395,0.7261267399496073,0.3265077629551675,3.0,0.07890514152134448
season_34,10,0,0.0,0.6690527909198052,0.31666065385694064,0.7582344907912485,0.31269828164602986,3.05,0.0667136436101509
